card_seq,player_id,card_set_id,number,position,name,card_source,parse_status,throwing_hand,batting_hand,is_pitcher,card_type,speed,bunt,steal_start,steal_end,injury_rate,is_relief_only,starter_stamina,relief_stamina,batting_style_id,pitching_style_id,is_closer,unique_traits,injury_traits,biorhythm_period,biorhythm_date_ranges,batting_table,pitching_table,card_label,irc_macro_name,irc_display_name,variant,base_player_name
79,,,133,外野手,清蘭,2025THBIG,ok,right,right,false,batter,4,9,8,17,3,false,,,,,false,,,,,"[[""HR7"", ""2H7"", ""IH6/G6a"", ""H7"", ""H8""], [""HR7"", ""2H9"", ""P"", ""IH1"", ""G4a""], [""HR7"", ""H7"", ""2B"", ""G1f"", ""G5f""], [""3H8"", ""H8a"", ""SS"", ""G4f"", ""G6f""], [""2H7"", ""H9"", ""G1D"", ""G4a"", ""F7a""], [""2H8"", ""LF"", ""G1a"", ""G5a"", ""F7""], [""H7"", ""CF"", ""G3f"", ""G6D"", ""F8""], [""H8a"", ""RF"", ""G4a"", ""G6f"", ""F9a""], [""H8"", ""G3a"", ""G5f"", ""F7a"", ""PO""], [""H9"", ""G4D"", ""G6D"", ""F7"", ""PO""], [""2B"", ""G4f"", ""G6f"", ""F8"", ""K""], [""3B"", ""G6f"", ""F7a"", ""F9a"", ""K""], [""G4f"", ""G6a"", ""F7"", ""F9"", ""K""], [""G6a"", ""F7a"", ""F8a"", ""PO"", ""K""], [""F7"", ""F7"", ""F8"", ""PO"", ""K""], [""F8a"", ""F8a"", ""F9a"", ""BB/G4f"", ""K""], [""F9"", ""F9"", ""PO"", ""BB"", ""K""], [""PO"", ""PO"", ""PO"", ""BB"", ""K""], [""PO"", ""PO"", ""PO"", ""BB"", ""K""], [""UP"", ""UP"", ""UP"", ""UP"", ""UP""]]","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,133,,,
80,,,168,外野手,ユイマン・浅間,2025THBIG,ok,right,left,false,batter,4,1,4,15,3,false,,,,,false,,,,,"[[""HR7"", ""HR9"", ""2B"", ""BB"", ""H8""], [""HR8"", ""2H8"", ""SS"", ""BB"", ""F8""], [""HR9"", ""H8"", ""RF"", ""BB"", ""K""], [""3H9/HR9"", ""H9a"", ""G1a"", ""BB"", ""K""], [""2H7"", ""K/IH6"", ""G3D"", ""BB"", ""K""], [""2H9a"", ""LF"", ""G4D"", ""BB"", ""K""], [""H7a"", ""CF"", ""G4f"", ""BB"", ""K""], [""H8"", ""RF"", ""G5a"", ""BB"", ""K""], [""H9a"", ""G3f"", ""G6D"", ""BB"", ""K""], [""H9"", ""G4D"", ""F7a"", ""BB"", ""K""], [""1B"", ""G4a"", ""F7"", ""BB"", ""K""], [""2B"", ""G6D"", ""F8"", ""BB"", ""K""], [""G4D"", ""F7"", ""F9a"", ""BB"", ""K""], [""G6f"", ""F8a"", ""F9"", ""BB"", ""K""], [""F9"", ""F9"", ""PO"", ""BB"", ""K""], [""PO"", ""PO"", ""DB"", ""BB"", ""K""], [""PO"", ""K"", ""K"", ""BB"", ""K""], [""K"", ""K"", ""K"", ""BB"", ""K""], [""K"", ""K"", ""K"", ""BB"", ""K""], [""UP"", ""UP"", ""UP"", ""BB"", ""UP""]]","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,168,,,
81,,,186,投手,リリーブラック,2025THBIG,ok,left,left,true,pitcher,1,1,1,1,1,true,,1,,,false,,,春分・清明,"[""3/20~4/19""]","[[""2H8"", ""H8"", ""2B"", ""H7""], [""2H9"", ""H9"", ""3B"", ""G1f""], [""H7"", ""G6f/H8a"", ""SS"", ""G3D""], [""H8a"", ""1B"", ""G1D"", ""G4D""], [""H9"", ""2B"", ""G3D"", ""G5a""], [""G6D/H8"", ""LF"", ""G4f"", ""G6D""], [""1B"", ""G1a"", ""G4a"", ""F7a""], [""SS"", ""G3D"", ""G5a"", ""F8""], [""G3D"", ""G3f"", ""G6D"", ""F9a""], [""G3a"", ""G4D"", ""G6f"", ""PO""], [""G4f"", ""G5D"", ""F7a"", ""BB""], [""G6D"", ""G6a"", ""F8a"", ""BB""], [""F7"", ""F7"", ""F9"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""2*"", ""2*"", ""2"", ""2"", ""2"", ""2"", ""3/2"", ""3*"", ""3*"", ""4"", ""4"", ""4"", ""4"", ""4"", ""4"", ""4"", ""4"", ""4"", ""4"", ""5/4""]",,186,,,
82,,,41,投手,古明地 さとり,2025THBIG,ok,right,right,true,pitcher,4,1,5,15,4,false,5,1,,,false,,,,,"[[""3H8"", ""H7"", ""P"", ""H9""], [""2H7"", ""H8"", ""1B"", ""G1D""], [""2H8"", ""H9a/G4a"", ""3B"", ""G3D""], [""H7a"", ""2B"", ""G1a"", ""G4f""], [""H9"", ""LF"", ""G3D"", ""G5a""], [""H8/G4D"", ""RF"", ""G4D"", ""G6D""], [""1B"", ""G1D"", ""G5a"", ""F7""], [""SS"", ""G3a"", ""G6D"", ""F8a""], [""G3D"", ""G4f"", ""G6f"", ""F9""], [""G3f"", ""G5D"", ""F7a"", ""PO""], [""G4D"", ""G6D"", ""F8"", ""BB""], [""G6a"", ""F8a"", ""F9a"", ""BB""], [""F8"", ""F9"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""1"", ""1P4"", ""2*"", ""2*"", ""2"", ""3*"", ""3*"", ""3"", ""3"", ""3"", ""3"", ""4/3"", ""4"", ""4"", ""5"", ""5"", ""5"", ""5""]",,41,,,
83,,,63,投手,村紗 水蜜,2025THBIG,ok,right,right,true,pitcher,1,2,1,1,5,false,5,1,,,false,,,,,"[[""2H7"", ""H7"", ""P"", ""H9""], [""2H8"", ""H8"", ""1B"", ""G1D""], [""H7"", ""H9a/G4a"", ""3B"", ""G3D""], [""H8a"", ""2B"", ""G1a"", ""G4f""], [""H9"", ""LF"", ""G3D"", ""G5a""], [""H8/G4D"", ""RF"", ""G4D"", ""G6D""], [""1B"", ""G1D"", ""G5a"", ""F7""], [""SS"", ""G3a"", ""G6D"", ""F8a""], [""G3D"", ""G4f"", ""G6f"", ""F9""], [""G3f"", ""G5D"", ""F7a"", ""PO""], [""G4D"", ""G6D"", ""F8"", ""BB""], [""G6a"", ""F8a"", ""F9a"", ""BB""], [""F8"", ""F9"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""2*"", ""2"", ""2"", ""2"", ""2/3"", ""3*"", ""3"", ""3"", ""3"", ""3"", ""3"", ""4P3"", ""4"", ""4"", ""4"", ""5"", ""5"", ""5""]",,63,,,
84,,,76,投手,聖 白蓮,2025THBIG,ok,right,right,true,pitcher,2,8,1,1,5,false,8,,,,false,,,,,"[[""HR7"", ""2H8"", ""H8/K"", ""H9""], [""3H8"", ""H7"", ""P"", ""G1D""], [""2H7"", ""H8a"", ""1B"", ""G3D""], [""2H8"", ""H9"", ""3B"", ""G4f""], [""2H9"", ""H9a/G4a"", ""G1a"", ""G5a""], [""H7a"", ""LF"", ""G3D"", ""G6D""], [""H8"", ""CF"", ""G4D"", ""F7""], [""H9a"", ""RF"", ""G5a"", ""F8a""], [""H7/G6a"", ""G3a"", ""G6D"", ""F9""], [""1B"", ""G4f"", ""G6f"", ""PO""], [""SS"", ""G5D"", ""F7a"", ""BB""], [""G3D"", ""G6D"", ""F8"", ""BB""], [""G4D"", ""F8a"", ""F9a"", ""BB""], [""F8"", ""F9"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""1/3"", ""1P3"", ""2*"", ""2"", ""2"", ""2"", ""2P3"", ""3*"", ""4"", ""4"", ""4"", ""4P5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5""]",,76,,,
85,,,84,投手,水橋 パルスィ,2025THBIG,ok,left,left,true,pitcher,1,3,1,1,3,false,5,,,,false,,,,,"[[""2H8"", ""H8"", ""2B"", ""H7""], [""2H9"", ""H9"", ""3B"", ""G1f""], [""H7"", ""G6f/H8a"", ""SS"", ""G3D""], [""H8a"", ""1B"", ""G1D"", ""G4D""], [""H9"", ""2B"", ""G3D"", ""G5a""], [""G6D/H8"", ""LF"", ""G4f"", ""G6D""], [""1B"", ""G1a"", ""G4a"", ""F7a""], [""SS"", ""G3D"", ""G5a"", ""F8""], [""G3D"", ""G3f"", ""G6D"", ""F9a""], [""G3a"", ""G4D"", ""G6f"", ""PO""], [""G4f"", ""G5D"", ""F7a"", ""BB""], [""G6D"", ""G6a"", ""F8a"", ""BB""], [""F7"", ""F7"", ""F9"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""1"", ""1"", ""1P2"", ""2*"", ""2*"", ""3*"", ""3*"", ""3"", ""3"", ""3"", ""4"", ""4"", ""4"", ""4"", ""5"", ""5"", ""5"", ""5""]",,84,,,
86,,,160,投手,矢田寺 成美,2025THBIG,ok,right,right,true,pitcher,1,7,1,1,2,false,6,1,,,false,,,,,"[[""2H7"", ""H7"", ""P"", ""H9""], [""2H8"", ""H8"", ""1B"", ""G1D""], [""H7"", ""H9a/G4a"", ""3B"", ""G3D""], [""H8a"", ""2B"", ""G1a"", ""G4f""], [""H9"", ""LF"", ""G3D"", ""G5a""], [""H8/G4D"", ""RF"", ""G4D"", ""G6D""], [""1B"", ""G1D"", ""G5a"", ""F7""], [""SS"", ""G3a"", ""G6D"", ""F8a""], [""G3D"", ""G4f"", ""G6f"", ""F9""], [""G3f"", ""G5D"", ""F7a"", ""PO""], [""G4D"", ""G6D"", ""F8"", ""BB""], [""G6a"", ""F8a"", ""F9a"", ""BB""], [""F8"", ""F9"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""1"", ""1"", ""1"", ""3*"", ""3*"", ""3*"", ""3*"", ""3"", ""3"", ""4"", ""4"", ""4/5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5""]",,160,,,
87,,,164,投手,姫虫 百々世,2025THBIG,ok,right,right,true,pitcher,1,6,1,1,5,false,6,,,,false,,,,,"[[""2H7"", ""H7"", ""P"", ""H9""], [""2H8"", ""H8"", ""1B"", ""G1D""], [""H7"", ""H9a/G4a"", ""3B"", ""G3D""], [""H8a"", ""2B"", ""G1a"", ""G4f""], [""H9"", ""LF"", ""G3D"", ""G5a""], [""H8/G4D"", ""RF"", ""G4D"", ""G6D""], [""1B"", ""G1D"", ""G5a"", ""F7""], [""SS"", ""G3a"", ""G6D"", ""F8a""], [""G3D"", ""G4f"", ""G6f"", ""F9""], [""G3f"", ""G5D"", ""F7a"", ""PO""], [""G4D"", ""G6D"", ""F8"", ""BB""], [""G6a"", ""F8a"", ""F9a"", ""BB""], [""F8"", ""F9"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1/3"", ""2*"", ""2*"", ""2"", ""2"", ""2"", ""2"", ""2"", ""3*"", ""3*"", ""3"", ""3"", ""3"", ""4P3"", ""4"", ""4"", ""5"", ""5"", ""5""]",,164,,,
88,,,16,投手,雲居 一輪,2025THBIG,ok,right,right,true,pitcher,1,2,1,1,4,true,,1,,,false,,,,,"[[""2H7"", ""H7"", ""P"", ""H9""], [""2H8"", ""H8"", ""1B"", ""G1D""], [""H7"", ""H9a/G4a"", ""3B"", ""G3D""], [""H8a"", ""2B"", ""G1a"", ""G4f""], [""H9"", ""LF"", ""G3D"", ""G5a""], [""H8/G4D"", ""RF"", ""G4D"", ""G6D""], [""1B"", ""G1D"", ""G5a"", ""F7""], [""SS"", ""G3a"", ""G6D"", ""F8a""], [""G3D"", ""G4f"", ""G6f"", ""F9""], [""G3f"", ""G5D"", ""F7a"", ""PO""], [""G4D"", ""G6D"", ""F8"", ""BB""], [""G6a"", ""F8a"", ""F9a"", ""BB""], [""F8"", ""F9"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""1"", ""1"", ""2*"", ""3*"", ""3"", ""3"", ""3"", ""4/3"", ""4"", ""4"", ""4"", ""4"", ""4"", ""5*"", ""5"", ""5"", ""5"", ""5""]",,16,,,
89,,,40,投手,ミスティア・ローレライ,2025THBIG,ok,right,right,true,pitcher,3,1,1,1,2,true,,1,,,false,,,,,"[[""2H7"", ""H7"", ""P"", ""H9""], [""2H8"", ""H8"", ""1B"", ""G1D""], [""H7"", ""H9a/G4a"", ""3B"", ""G3D""], [""H8a"", ""2B"", ""G1a"", ""G4f""], [""H9"", ""LF"", ""G3D"", ""G5a""], [""H8/G4D"", ""RF"", ""G4D"", ""G6D""], [""1B"", ""G1D"", ""G5a"", ""F7""], [""SS"", ""G3a"", ""G6D"", ""F8a""], [""G3D"", ""G4f"", ""G6f"", ""F9""], [""G3f"", ""G5D"", ""F7a"", ""PO""], [""G4D"", ""G6D"", ""F8"", ""BB""], [""G6a"", ""F8a"", ""F9a"", ""BB""], [""F8"", ""F9"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""1"", ""1/2"", ""2*"", ""2*"", ""3*"", ""3"", ""3"", ""3"", ""3"", ""3"", ""4"", ""4"", ""4"", ""4"", ""4"", ""4P5"", ""5*"", ""5""]",,40,,,
90,,,43,投手,朱鷺子,2025THBIG,ok,left,left,true,pitcher,1,1,1,1,2,true,,1,,,false,,,,,"[[""2H8"", ""H8"", ""2B"", ""H7""], [""2H9"", ""H9"", ""3B"", ""G1f""], [""H7"", ""G6f/H8a"", ""SS"", ""G3D""], [""H8a"", ""1B"", ""G1D"", ""G4D""], [""H9"", ""2B"", ""G3D"", ""G5a""], [""G6D/H8"", ""LF"", ""G4f"", ""G6D""], [""1B"", ""G1a"", ""G4a"", ""F7a""], [""SS"", ""G3D"", ""G5a"", ""F8""], [""G3D"", ""G3f"", ""G6D"", ""F9a""], [""G3a"", ""G4D"", ""G6f"", ""PO""], [""G4f"", ""G5D"", ""F7a"", ""BB""], [""G6D"", ""G6a"", ""F8a"", ""BB""], [""F7"", ""F7"", ""F9"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""2*"", ""2*"", ""2"", ""2"", ""2"", ""2"", ""3*"", ""4"", ""4"", ""4"", ""4"", ""5*"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5""]",,43,,,
91,,,51,投手,古明地 こいし,2025THBIG,ok,left,left,true,pitcher,1,1,1,1,6,false,,1,,,false,,,,,"[[""2H8"", ""H8"", ""2B"", ""H7""], [""2H9"", ""H9"", ""3B"", ""G1f""], [""H7"", ""G6f/H8a"", ""SS"", ""G3D""], [""H8a"", ""1B"", ""G1D"", ""G4D""], [""H9"", ""2B"", ""G3D"", ""G5a""], [""G6D/H8"", ""LF"", ""G4f"", ""G6D""], [""1B"", ""G1a"", ""G4a"", ""F7a""], [""SS"", ""G3D"", ""G5a"", ""F8""], [""G3D"", ""G3f"", ""G6D"", ""F9a""], [""G3a"", ""G4D"", ""G6f"", ""PO""], [""G4f"", ""G5D"", ""F7a"", ""BB""], [""G6D"", ""G6a"", ""F8a"", ""BB""], [""F7"", ""F7"", ""F9"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""3P1"", ""2"", ""2"", ""2"", ""2"", ""2"", ""3*"", ""3"", ""3"", ""3"", ""3"", ""3/4"", ""4"", ""4"", ""5"", ""5"", ""5"", ""5""]",,51,,,
92,,,143,投手,宮出口 瑞霊,2025THBIG,ok,right,right,true,pitcher,3,4,5,6,5,false,7,1,,,false,,,,,"[[""HR7"", ""H7"", ""P"", ""H9""], [""2H7"", ""H8"", ""1B"", ""G1D""], [""2H8"", ""H9a"", ""3B"", ""G3D""], [""H7a"", ""2B"", ""G1a"", ""G4f""], [""H8"", ""LF"", ""G3D"", ""G5a""], [""H9"", ""RF"", ""G4D"", ""G6D""], [""1B"", ""G1D"", ""G5a"", ""F7""], [""SS"", ""G3a"", ""G6D"", ""F8a""], [""G3D"", ""G4f"", ""G6f"", ""F9""], [""G3f"", ""G5D"", ""F7a"", ""PO""], [""G4D"", ""G6D"", ""F8"", ""BB""], [""G6a"", ""F8a"", ""F9a"", ""BB""], [""F8"", ""F9"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""4P1"", ""4P1"", ""4P1"", ""2*"", ""2"", ""2"", ""2"", ""3*"", ""4"", ""4"", ""4"", ""4"", ""4"", ""5*"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5""]",,143,,,
93,,,144,投手,封獣 チミ,2025THBIG,ok,right,right,true,pitcher,1,3,1,1,5,false,6,1,,,false,,,,,"[[""2H7"", ""H7"", ""P"", ""H9""], [""2H8"", ""H8"", ""1B"", ""G1D""], [""H7"", ""H9a/G4a"", ""3B"", ""G3D""], [""H8a"", ""2B"", ""G1a"", ""G4f""], [""H9"", ""LF"", ""G3D"", ""G5a""], [""H8/G4D"", ""RF"", ""G4D"", ""G6D""], [""1B"", ""G1D"", ""G5a"", ""F7""], [""SS"", ""G3a"", ""G6D"", ""F8a""], [""G3D"", ""G4f"", ""G6f"", ""F9""], [""G3f"", ""G5D"", ""F7a"", ""PO""], [""G4D"", ""G6D"", ""F8"", ""BB""], [""G6a"", ""F8a"", ""F9a"", ""BB""], [""F8"", ""F9"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""1"", ""1"", ""2*"", ""2"", ""2"", ""3*"", ""3*"", ""3"", ""3"", ""3"", ""3"", ""4"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5""]",,144,,,
94,,,151,投手,天火人 ちやり,2025THBIG,ok,right,right,true,pitcher,1,1,1,1,5,true,,1,,,false,,,,,"[[""2H7"", ""H7"", ""P"", ""H9""], [""2H8"", ""H8"", ""1B"", ""G1D""], [""H7"", ""H9a/G4a"", ""3B"", ""G3D""], [""H8a"", ""2B"", ""G1a"", ""G4f""], [""H9"", ""LF"", ""G3D"", ""G5a""], [""H8/G4D"", ""RF"", ""G4D"", ""G6D""], [""1B"", ""G1D"", ""G5a"", ""F7""], [""SS"", ""G3a"", ""G6D"", ""F8a""], [""G3D"", ""G4f"", ""G6f"", ""F9""], [""G3f"", ""G5D"", ""F7a"", ""PO""], [""G4D"", ""G6D"", ""F8"", ""BB""], [""G6a"", ""F8a"", ""F9a"", ""BB""], [""F8"", ""F9"", ""PO"", ""BB""], [""PO"", ""PO"", ""PO"", ""BB""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP""]]","[""1"", ""1"", ""1"", ""2*"", ""2"", ""2P3"", ""3*"", ""3"", ""3"", ""3"", ""3"", ""4/3"", ""4"", ""4"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5""]",,151,,,
95,,,02,捕手,キスメ,2025THBIG,ok,right,right,false,batter,3,2,1,1,4,false,,,,,false,,,,,"[[""HR7"", ""H7a"", ""H8/K"", ""H7"", ""K""], [""2H7"", ""H7"", ""1B"", ""G4f"", ""K""], [""2H7"", ""H8a"", ""2B"", ""G5D"", ""K""], [""H7a"", ""H8"", ""SS"", ""G6a"", ""K""], [""H7"", ""H9"", ""G1a"", ""F7a"", ""K""], [""H7"", ""IH4"", ""G3D"", ""F8"", ""K""], [""H7"", ""LF"", ""G4D"", ""PO"", ""K""], [""H8a"", ""CF"", ""G5f"", ""PO"", ""K""], [""H8"", ""RF"", ""G6a"", ""BB"", ""K""], [""H8"", ""G4a"", ""F7"", ""BB"", ""K""], [""H9a"", ""G6D"", ""F9"", ""BB"", ""K""], [""H9"", ""F7a"", ""PO"", ""BB"", ""K""], [""3B"", ""F8"", ""PO"", ""BB"", ""K""], [""SS"", ""PO"", ""K"", ""BB"", ""K""], [""K"", ""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP"", ""K""]]","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,02,,,
96,,,44,捕手,封獣 ぬえ,2025THBIG,ok,right,left,false,batter,3,6,5,15,4,false,,,,,false,,,,,"[[""HR9"", ""2H8"", ""K/IH1"", ""H8"", ""IH4""], [""HR9"", ""2H9"", ""1B"", ""H9"", ""G3a""], [""3H9"", ""H7"", ""2B"", ""G1a"", ""G4D""], [""2H7"", ""H8a"", ""SS"", ""G3D"", ""G4f""], [""2H8"", ""H8"", ""G1f"", ""G3f"", ""G5f""], [""2H9"", ""H9a"", ""G3D"", ""G4D"", ""G6a""], [""H7a"", ""H9"", ""G3a"", ""G4f"", ""F9""], [""H7"", ""2B"", ""G4D"", ""G5a"", ""PO""], [""H8"", ""CF"", ""G4f"", ""G6D"", ""K""], [""H8"", ""RF"", ""G4a"", ""F7a"", ""K""], [""H9a"", ""G3D"", ""G5D"", ""F8"", ""K""], [""H9"", ""G3f"", ""G5f"", ""PO"", ""K""], [""H9"", ""G4D"", ""G6D"", ""BB"", ""K""], [""H9"", ""G4a"", ""G6a"", ""BB"", ""K""], [""G6f/H8"", ""G6f"", ""F8"", ""BB"", ""K""], [""1B"", ""F7"", ""F9a"", ""BB"", ""K""], [""SS"", ""F9a"", ""PO"", ""BB"", ""K""], [""G4D"", ""PO"", ""PO"", ""K/BB"", ""K""], [""K"", ""K"", ""PO"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP"", ""UP""]]","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,44,,,
97,,,82,捕手,幽谷 響子,2025THBIG,ok,right,right,false,batter,3,6,3,12,3,false,,,,,false,,,,,"[[""HR7"", ""H7a"", ""H8/G6a"", ""H9"", ""H8""], [""2H7"", ""H7"", ""2B"", ""G1D"", ""G4a""], [""2H9"", ""H8a"", ""3B"", ""G3D"", ""G6f""], [""H7a"", ""H8"", ""SS"", ""G4f"", ""PO""], [""H7"", ""H9/G3f"", ""G1a"", ""G4a"", ""K""], [""H8"", ""LF"", ""G3D"", ""G5f"", ""K""], [""H9a"", ""CF"", ""G4D"", ""G6D"", ""K""], [""H8/K"", ""RF"", ""G4f"", ""G6a"", ""K""], [""1B"", ""G3a"", ""G5f"", ""F7"", ""K""], [""SS"", ""G4D"", ""G5a"", ""F9a"", ""K""], [""G3f"", ""G4a"", ""G6D"", ""PO"", ""K""], [""G4D"", ""G5D"", ""G6f"", ""PO"", ""K""], [""G4a"", ""G5f"", ""F7a"", ""BB"", ""K""], [""G5D"", ""G6D"", ""F8"", ""BB"", ""K""], [""G6f"", ""G6a"", ""F9"", ""BB"", ""K""], [""G6a"", ""F8a"", ""PO"", ""BB"", ""K""], [""F7"", ""F9"", ""PO"", ""BB/K"", ""K""], [""PO"", ""PO"", ""K"", ""K"", ""K""], [""K"", ""K"", ""K"", ""K"", ""K""], [""UP"", ""UP"", ""UP"", ""UP"", ""UP""]]","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,82,,,
