card_seq,trait_definition_name,condition_name,role,sort_order
286,対右,,,0
287,1C5,代打,,0
288,対右,,,0
288,チャンス,,,1
289,対右,,,0
290,対右,,,0
291,内野安打,,,0
292,チャンス,,,0
293,対左,,,0
294,チャンス,,,0
295,対右,,,0
296,対左,,,0
298,チャンス,,,0
299,DB,,,0
300,DB,,,0
301,チャンス,,,0
302,対左,無走者,,0
302,WP,有走者,,1
303,WP,,,0
304,対左,,,0
305,内野安打,,,0
306,対右,,,0
306,1C5,,,1
307,DB,無走者,,0
307,ボーク,有走者,,1
308,チャンス,,,0
309,チャンス,,,0
310,チャンス,,,0
311,ホームラン,,,0
312,1C5,,,0
313,1C5,,,0
314,対左,,,0
315,チャンス,,,0
316,DB,,,0
317,対左,,,0
318,対左,,,0
319,対右,,,0
320,対左,,,0
321,1C5,,,0
322,対左,,,0
323,対左,,batter,0
323,対左,,pitcher,1
326,DB,,,0
327,DB,,,0
328,対左,,,0
329,チャンス,,,0
330,DB,,,0
331,対左,,,0
332,1C5,,,0
333,ホームラン,,,0
333,ホームラン,,,1
334,対左,,,0
335,チャンス,,,0
336,対左,,,0
336,ホームラン,,,1
337,内野安打,,,0
338,対左,,,0
339,対左,,,0
341,DB,,,0
342,対左,,,0
343,対左,,,0
344,DB,無走者,,0
344,WP,有走者,,1
345,チャンス,,,0
347,チャンス,,,0
348,WP,,,0
350,対右,,,0
351,対左,,,0
352,対右,,,0
353,WP,,,0
354,対右,,,0
355,チャンス,,,0
356,DB,無走者,,0
356,WP,有走者,,1
357,チャンス,,,0
358,1C5,,,0
360,内野安打,,,0
361,対右,,,0
362,三振,,,0
363,チャンス,,,0
364,対右,,,0
365,対左,,,0
366,チャンス,,,0
367,対右,,,0
368,1C5,,,0
369,対左,,,0
370,DB,,,0
371,対左,,,0
372,WP,,,0
374,1P5,,,0
376,対左,,,0
377,内野安打,,,0
378,対右,,,0
379,DB,,,0
379,チャンス,,,1
380,DB,無走者,,0
380,ボーク,有走者,,1
381,対左,,,0
382,ホームラン,,,0
382,対右,,,1
383,チャンス,,,0
384,対左,,,0
385,DB,,,0
386,対右,,,0
388,対左,,batter,0
389,対左,,batter,0
390,対左,,,0
391,1C5,,,0
392,1C5,,,0
393,ホームラン,,,0
393,DB,,,1
395,対右,,,0
396,チャンス,,,0
397,1C5,,,0
398,対右,,,0
399,対右,,,0
400,チャンス,,,0
401,チャンス,,,0
402,対右,,pitcher,0
403,内野安打,,batter,0
403,対右,,pitcher,1
404,内野安打,,,0
405,チャンス,,,0
406,対左,,,0
406,三振,,,1
407,対左,,,0
408,チャンス,,,0
409,DB,,,0
412,対左,,,0
413,内野安打,,batter,0
413,対右,,pitcher,1
414,1C5,,,0
415,三振振り逃げ,無走者,,0
415,WP,有走者,,1
415,ホームラン,,,2
416,DB,,,0
417,1C5,,,0
418,対左,,,0
419,対右,,,0
419,対左,,,1
420,内野安打,,,0
422,チャンス,,,0
423,内野安打,,,0
424,チャンス,,,0
425,チャンス,,batter,0
425,対左,,pitcher,1
426,対右,,,0
427,ホームラン,,,0
428,対右,,,0
429,対右,,,0
430,1C5,,,0
431,内野安打,,,0
432,チャンス,,,0
